id,osmUserId,name,emoji,color,createdAt,sortOrder
1,9631658,"Want to climb","❤️",#F87171,2026-06-07T21:04:44.177Z,0
2,9631658,"Want to visit","🚩",#A3E635,2026-06-07T21:04:47.049Z,0
3,9631658,"Oblíbené","⭐",#F87171,2026-06-07T22:15:19.439Z,0
4,162287,"písek","☀️",#FBBF24,2026-06-11T08:43:52.305Z,0
5,23609787,"Want to climb","🧗",#FFFFFF,2026-06-15T09:09:20.594Z,0
6,9631658,"Chci vylézt","🧗",#FB923C,2026-06-16T16:31:55.382Z,0
7,9631658,"Navštíveno","✅",#FFFFFF,2026-07-06T09:18:29.247Z,0
8,24284955,"Oblíbené","⭐",#FFFFFF,2026-07-06T18:13:17.839Z,0
