osmUserId,displayName
162287,zby-cz
538387,forteller
598980,"Daniel Baránek"
1453032,Munikho
1886770,BHSPitMonkey
1991301,anatoly77g
2385757,"jeka p"
9631658,jvaclavik
22922503,KubaZavrel
23609787,blowfish84
24008154,kdoasi
24008282,Gibisek
24011695,"KBártík"
24075186,GabriCosta00
24103259,Martin______
24117475,sneccijedou123
24189237,"MatějPeták"
24191586,Lavilledieu
24195203,"Plívis"
24195226,"želvák"
24202100,"Ondřej Cihla"
